0;0;0;0;land;false;unknown;0
1;201;195;203;land;false;marsh;1
2;249;194;137;land;false;forest;1
3;241;120;211;land;false;marsh;1
4;218;209;84;land;false;marsh;1
5;210;225;169;land;false;marsh;1
6;223;149;163;land;false;marsh;1
7;183;249;163;land;false;marsh;1
8;130;155;226;land;false;marsh;1
9;197;121;189;land;false;desert;1
10;210;204;199;land;false;marsh;1
11;216;153;211;land;true;marsh;1
12;247;126;148;land;true;marsh;1
13;92;202;220;land;false;marsh;1
14;214;194;119;land;false;urban;1
15;248;211;201;land;false;marsh;1
16;186;192;200;land;false;urban;1
17;253;227;92;land;true;marsh;1
18;173;247;94;land;false;jungle;1
19;242;201;253;land;false;marsh;1
20;246;170;203;land;false;marsh;1
21;225;251;67;land;false;marsh;1
22;240;120;202;land;false;marsh;1
23;141;202;218;land;false;marsh;1
24;228;242;46;land;false;desert;1
25;228;214;115;land;false;marsh;1
26;120;214;246;land;false;desert;1
27;153;227;199;land;true;marsh;1
28;169;181;243;land;true;marsh;1
29;243;132;238;land;false;urban;1
30;198;218;87;land;false;marsh;1
31;158;218;244;land;false;marsh;1
32;247;246;232;land;false;forest;1
33;186;175;153;land;false;marsh;1
34;142;181;222;land;false;marsh;1
35;203;252;147;land;false;marsh;1
36;104;231;170;land;false;plains;1
37;208;157;231;land;true;marsh;1
38;230;64;243;land;true;marsh;1
39;113;224;193;land;false;forest;1
40;136;174;218;land;false;forest;1
41;247;146;203;land;true;forest;1
42;93;254;194;land;false;marsh;1
43;169;188;166;land;true;marsh;1
44;175;189;252;land;false;urban;1
45;84;205;231;land;false;marsh;1
46;217;207;77;land;false;marsh;1
47;106;242;212;land;false;marsh;1
48;109;249;215;land;false;marsh;1
49;179;234;192;land;false;urban;1
50;231;202;125;land;false;desert;1
51;235;159;237;land;true;marsh;1
52;182;125;248;land;false;urban;1
53;239;196;78;land;false;urban;1
54;221;238;120;land;false;urban;1
55;185;232;111;land;true;urban;1
56;186;224;113;land;true;marsh;1
57;238;127;165;land;false;marsh;1
58;200;119;217;land;false;marsh;1
59;229;154;207;land;false;desert;1
60;169;227;140;land;false;forest;1
61;168;149;204;land;false;marsh;1
62;134;237;250;land;true;marsh;1
63;242;253;148;land;false;marsh;1
64;230;178;188;land;false;marsh;1
65;162;159;180;land;false;marsh;1
66;233;250;83;land;false;marsh;1
67;137;135;229;land;false;marsh;1
68;176;183;202;land;false;marsh;1
69;227;166;183;land;false;marsh;1
70;201;177;129;land;false;plains;1
71;174;207;156;land;false;marsh;1
72;210;249;157;land;false;marsh;1
73;129;167;246;land;true;marsh;1
74;166;173;205;land;false;marsh;1
75;249;248;221;land;false;urban;1
76;212;179;121;land;false;marsh;1
77;36;247;252;land;false;marsh;1
78;161;164;216;land;false;marsh;1
79;214;147;169;land;false;urban;1
80;170;141;233;land;false;urban;1
81;126;213;194;land;false;marsh;1
82;215;185;163;land;false;marsh;1
83;133;183;254;land;false;marsh;1
84;252;171;90;land;false;marsh;1
85;123;243;240;land;false;urban;1
86;179;240;148;land;true;desert;1
87;188;163;154;land;false;forest;1
88;237;172;163;land;false;marsh;1
89;218;103;192;land;false;marsh;1
90;252;92;252;land;false;marsh;1
91;179;215;233;land;false;urban;1
92;170;169;192;land;false;marsh;1
93;106;246;231;land;false;marsh;1
94;235;122;205;land;false;marsh;1
95;100;208;198;land;false;desert;1
96;122;215;185;land;false;desert;1
97;199;221;180;land;false;marsh;1
98;153;156;210;land;false;plains;1
99;109;249;244;land;false;urban;1
100;214;245;172;land;false;urban;1
101;186;204;242;land;true;marsh;1
102;205;135;163;land;false;forest;1
103;219;65;235;land;false;marsh;1
104;190;229;187;land;false;marsh;1
105;111;245;163;land;true;marsh;1
106;73;228;250;land;false;marsh;1
107;130;200;245;land;false;desert;1
108;217;125;162;land;false;plains;1
109;198;216;198;land;true;forest;1
110;200;214;179;land;false;marsh;1
111;163;168;221;land;false;desert;1
112;211;193;169;land;false;urban;1
113;236;224;238;land;false;marsh;1
114;151;237;204;land;false;jungle;1
115;204;196;251;land;false;desert;1
116;180;218;199;land;false;forest;1
117;214;200;222;land;false;marsh;1
118;93;182;251;land;false;urban;1
119;177;206;241;land;false;marsh;1
120;209;144;200;land;true;forest;1
121;168;220;236;land;false;desert;1
122;232;188;169;land;true;marsh;1
123;105;249;232;land;false;urban;1
124;242;166;208;land;false;marsh;1
125;229;197;238;land;false;marsh;1
126;228;240;36;land;false;marsh;1
127;185;254;129;land;false;marsh;1
128;183;217;104;land;false;urban;1
129;235;241;102;land;false;marsh;1
130;227;169;179;land;false;urban;1
131;197;77;247;land;false;marsh;1
132;232;218;196;land;false;marsh;1
133;110;251;150;land;false;marsh;1
134;173;214;190;land;false;urban;1
135;238;126;217;land;true;marsh;1
136;90;248;166;land;false;marsh;1
137;142;141;253;land;false;urban;1
138;206;201;125;land;false;jungle;1
139;226;153;129;land;false;plains;1
140;222;135;156;land;false;marsh;1
141;218;215;92;land;false;marsh;1
142;201;153;193;land;false;marsh;1
143;218;80;249;land;false;plains;1
