12;floating_harbor;3178.00;9.50;1681.00;1.57;9317
77;floating_harbor;3256.43;9.50;1385.24;-1.98;11597
85;floating_harbor;3111.82;9.50;1613.88;-0.98;362
116;floating_harbor;3022.05;9.50;1254.95;0.79;12003
118;floating_harbor;2724.95;9.50;1247.05;-2.36;4135
126;floating_harbor;2819.00;9.50;1562.00;-1.49;11374
145;floating_harbor;3128.95;9.50;1747.95;-0.79;9228
163;floating_harbor;3039.36;9.50;1389.79;-4.39;3943
178;floating_harbor;2540.00;9.50;1113.00;1.57;13071
188;floating_harbor;3126.36;9.50;1636.21;1.25;3288
189;floating_harbor;3127.07;9.50;1642.01;-4.57;6314
270;floating_harbor;1067.00;9.50;304.00;-2.23;1280
281;floating_harbor;3939.33;9.50;745.97;0.10;4967
291;floating_harbor;3564.53;9.50;1140.49;-1.94;2089
299;floating_harbor;1886.63;9.50;86.47;0.67;12960
310;floating_harbor;1989.23;9.50;954.65;-0.84;12885
311;floating_harbor;1433.00;9.50;1146.00;-1.57;2077
320;floating_harbor;4059.79;9.50;838.30;-1.82;10149
321;floating_harbor;3950.21;9.50;892.30;-4.47;1273
326;floating_harbor;4586.00;9.50;1004.00;-3.14;10062
337;floating_harbor;2695.00;9.50;1789.00;-2.36;13003
1;floating_harbor;2961.26;9.50;1363.87;-2.03;9851
2;floating_harbor;2989.05;9.50;1354.05;-3.93;11751
5;floating_harbor;3111.84;9.50;1614.40;-0.42;3380
6;floating_harbor;2848.18;9.50;1546.88;0.98;6560
7;floating_harbor;2883.00;9.50;1587.00;0.00;3314
13;floating_harbor;3177.87;9.50;1690.74;-3.61;3174
14;floating_harbor;2765.00;9.50;1497.00;0.00;9525
15;floating_harbor;2775.18;9.50;1498.88;0.98;9550
19;floating_harbor;2769.00;9.50;1438.00;0.97;9737
21;floating_harbor;2884.05;9.50;1380.05;-3.93;11834
22;floating_harbor;2871.13;9.50;1381.74;-2.68;9898
23;floating_harbor;2784.14;9.50;1426.63;-4.51;9597
29;floating_harbor;2816.00;9.50;1519.00;-4.33;9500
30;floating_harbor;2763.74;9.50;1459.87;-4.25;11465
31;floating_harbor;2861.00;9.50;1380.00;-1.57;3946
35;floating_harbor;2866.13;9.50;1551.26;-0.46;480
36;floating_harbor;2901.01;9.50;1595.93;0.14;9335
37;floating_harbor;3004.64;9.50;1626.79;-1.89;6393
38;floating_harbor;3080.37;9.50;1758.47;-0.67;11091
46;floating_harbor;3269.82;9.50;1413.12;-2.16;687
47;floating_harbor;3182.95;9.50;1280.05;-2.36;4109
56;floating_harbor;2935.13;9.50;1597.26;-0.46;241
58;floating_harbor;2976.00;9.50;1626.00;0.06;11331
59;floating_harbor;2951.63;9.50;1596.47;0.67;6325
61;floating_harbor;2999.60;9.50;1612.50;-0.38;321
62;floating_harbor;3029.73;9.50;1602.92;-1.29;3340
63;floating_harbor;3079.30;9.50;1624.79;0.24;11343
99;floating_harbor;2976.00;9.50;1626.00;-2.76;6364
100;floating_harbor;2433.00;9.50;1923.00;0.98;12674
101;floating_harbor;2076.85;9.50;1859.34;-3.45;12512
103;floating_harbor;3035.74;9.50;1410.13;1.11;11901
105;floating_harbor;3101.40;9.50;1354.50;-3.52;9809
110;floating_harbor;2961.70;9.50;1705.21;-2.90;9174
111;floating_harbor;3188.87;9.50;1730.74;-3.61;11105
112;floating_harbor;2663.36;9.50;1340.21;1.25;6924
113;floating_harbor;2707.86;9.50;1591.37;-1.37;7377
114;floating_harbor;2930.00;9.50;1326.00;1.57;11824
117;floating_harbor;3018.05;9.50;1338.05;-3.93;9826
119;floating_harbor;2703.88;9.50;1642.82;-0.59;3329
120;floating_harbor;2694.00;9.50;1676.00;1.15;11161
121;floating_harbor;2745.00;10.10;1664.00;0.00;9392
122;floating_harbor;2740.30;9.50;1604.79;0.24;9364
123;floating_harbor;2735.63;9.50;1561.86;0.20;9562
124;floating_harbor;3109.79;9.50;1687.70;-1.33;408
125;floating_harbor;2828.00;9.50;1585.00;-1.57;322
127;floating_harbor;2788.05;9.50;1540.05;-3.93;11446
129;floating_harbor;2822.00;9.50;1598.00;-1.78;9250
130;floating_harbor;2800.26;9.50;1615.13;-1.11;11297
131;floating_harbor;2775.00;9.50;1650.60;-1.03;11299
132;floating_harbor;2744.18;9.50;1615.88;0.98;6335
133;floating_harbor;2736.21;9.50;1624.36;-2.82;9350
134;floating_harbor;2635.74;9.50;1598.87;-4.25;9369
135;floating_harbor;2684.13;9.50;1565.74;-2.68;11237
136;floating_harbor;2767.26;9.50;1673.87;-2.03;11136
137;floating_harbor;3351.70;9.50;1440.79;-0.24;9718
138;floating_harbor;3038.70;9.50;1639.21;-2.90;11327
139;floating_harbor;3074.90;9.50;1696.85;-1.74;11380
140;floating_harbor;2962.00;9.50;1693.00;1.13;383
141;floating_harbor;3079.88;9.50;1701.18;-2.55;11082
142;floating_harbor;2946.95;9.50;1693.05;-2.36;11176
143;floating_harbor;2952.00;9.50;1850.00;0.46;6116
144;floating_harbor;3077.00;9.50;2003.00;0.00;11090
146;floating_harbor;3246.10;9.50;1743.85;-4.55;9100
148;floating_harbor;3184.00;9.50;1869.00;-3.14;11125
149;floating_harbor;3192.63;9.50;1859.86;0.20;11121
156;floating_harbor;3048.50;9.50;1302.60;1.19;12066
157;floating_harbor;3036.95;9.50;1371.95;-0.79;6831
158;floating_harbor;2949.00;9.50;1397.00;-3.14;6788
160;floating_harbor;3004.95;9.50;1420.87;-1.45;9582
161;floating_harbor;3006.00;9.50;1414.00;-1.57;6793
162;floating_harbor;2956.05;9.50;1394.05;-3.93;6973
164;floating_harbor;3210.50;9.50;1257.40;-4.33;7003
165;floating_harbor;2840.13;9.50;1341.74;-2.68;9764
167;floating_harbor;2809.00;9.50;1311.60;-1.03;6959
168;floating_harbor;2797.60;9.50;1275.80;-2.21;10024
169;floating_harbor;2693.15;9.50;1264.10;-2.98;12070
171;floating_harbor;2661.07;9.50;1372.99;1.43;9689
173;floating_harbor;2749.00;9.50;1255.00;-3.14;10063
177;floating_harbor;2842.36;9.50;1312.79;-4.39;9793
179;floating_harbor;2663.18;9.50;1286.88;0.98;3866
180;floating_harbor;2662.00;9.50;1347.00;1.57;9817
182;floating_harbor;3191.12;9.50;1224.18;-3.73;9940
183;floating_harbor;3307.40;9.50;1221.80;-4.07;7193
184;floating_harbor;3198.30;9.50;1333.21;-3.39;11774
185;floating_harbor;3093.00;9.50;1316.00;1.53;10203
186;floating_harbor;3132.00;9.50;1278.00;-4.11;7211
187;floating_harbor;3215.00;9.50;1272.00;-3.93;6550
190;floating_harbor;3161.13;9.50;1687.26;-0.46;6322
192;floating_harbor;3292.60;9.50;1440.80;-2.21;11670
195;floating_harbor;3232.00;9.50;1735.00;1.57;3151
196;floating_harbor;3378.00;9.50;1440.00;-1.60;6771
197;floating_harbor;3295.00;9.50;1420.00;-3.31;11546
200;floating_harbor;3372.95;9.50;1444.05;-2.36;9729
208;floating_harbor;3232.00;9.50;1735.00;1.57;9097
211;floating_harbor;3245.50;9.50;1368.60;-1.19;9902
213;floating_harbor;3328.31;9.50;1977.56;-0.86;11183
215;floating_harbor;3375.95;9.50;1839.95;-0.79;9055
218;floating_harbor;3378.00;9.50;1440.00;-4.19;9430
227;floating_harbor;3401.21;9.50;1452.36;-2.82;3421
231;floating_harbor;3449.07;9.50;1362.01;-4.57;772
233;floating_harbor;3416.12;9.50;1391.18;-3.73;3698
234;floating_harbor;3388.79;9.50;1406.36;-3.46;11668
268;floating_harbor;3485.26;9.50;837.87;-2.03;4985
269;floating_harbor;3565.13;9.50;836.26;-0.46;10921
272;floating_harbor;2544.09;9.50;866.91;-4.56;7972
274;floating_harbor;2776.06;9.50;721.08;-2.99;12742
278;floating_harbor;1929.00;9.50;272.00;-2.08;12364
279;floating_harbor;1656.00;9.50;186.00;1.47;12954
282;floating_harbor;5007.26;9.50;1254.87;-2.03;7016
284;floating_harbor;5549.40;9.50;131.00;-3.68;12617
